"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Arcellinida_metagenome"	"treatment_conc"	"treatment_conc"	"treatment_conc"	1.20898943913131	-0.282556739776635	0.508686905881763	0.982808489832371	1	0.982808489832371	0.999811187275919	NA	"abundance"	15	15
"BOLA868_uncultured_Hartmannellidae"	"treatment_conc"	"treatment_conc"	"treatment_conc"	0.372174165741547	-0.282556739776635	0.516237348417339	0.991887240225219	1	0.991887240225219	0.999811187275919	NA	"abundance"	15	15
"Cercomonas_uncultured_Cercozoa"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-1.41788698313402	-0.282556739776635	18.0750998402907	0.986716823838042	1	0.323265077155238	0.999811187275919	NA	"abundance"	15	9
"Cercozoa_Athalamea_environmental"	"treatment_conc"	"treatment_conc"	"treatment_conc"	0.193824244637106	-0.282556739776635	0.315032830038479	0.994147031222447	1	0.952018904852455	0.999811187275919	NA	"abundance"	15	11
"Codosiga_Codosiga_hollandica"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-1.46814407824459	-0.282556739776635	1.14554637607749	0.985486499793312	1	0.364553557607709	0.999811187275919	NA	"abundance"	15	10
"CV1-B1-93_uncultured_centroheliozoan"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-1.99040176233929	-0.282556739776635	0.904296684916936	0.979420554578776	1	0.979420554578776	0.999811187275919	NA	"abundance"	15	15
"Diplostraca_Acantholeberis_curvirostris"	"treatment_conc"	"treatment_conc"	"treatment_conc"	1.37986534998934	-0.282556739776635	1.30522205977802	0.981000145036728	1	0.999639005511375	0.999811187275919	NA	"abundance"	15	10
"Diplostraca_Acroperus_harpae"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-0.282556739776635	-0.282556739776635	1.42001945915926	1	1	0.999811187275919	0.999811187275919	NA	"abundance"	15	14
"Diplostraca_Bosmina_longirostris"	"treatment_conc"	"treatment_conc"	"treatment_conc"	0.593649094462765	-0.282556739776635	0.653049540278556	0.989382438417917	1	0.834887970007905	0.999811187275919	NA	"abundance"	15	8
"Diplostraca_Chydorus_sphaericus"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-1.61912772725947	-0.282556739776635	1.92474630788031	0.98382448643804	1	0.931505787771249	0.999811187275919	NA	"abundance"	15	13
"Diplostraca_Diaphanosoma_sp."	"treatment_conc"	"treatment_conc"	"treatment_conc"	-0.969956588502293	-0.282556739776635	0.235091500738271	0.993239781109152	1	0.535111915832343	0.999811187275919	NA	"abundance"	15	6
"Diplostraca_Pleuroxus_aduncus"	"treatment_conc"	"treatment_conc"	"treatment_conc"	1.30035623159255	-0.282556739776635	1.59022911594457	0.98093426123926	1	0.98093426123926	0.999811187275919	NA	"abundance"	15	15
"Euamoebida_Copromyxa_microcystidis"	"treatment_conc"	"treatment_conc"	"treatment_conc"	0.81421867017898	-0.282556739776635	0.339831579735558	0.986978060042225	1	0.683821153286937	0.999811187275919	NA	"abundance"	15	6
"Euamoebida_Tubulinida_sp."	"treatment_conc"	"treatment_conc"	"treatment_conc"	0.663869286816103	-0.282556739776635	0.448556379162849	0.988763076602531	1	0.737276813528021	0.999811187275919	NA	"abundance"	15	6
"Goniomonas_Goniomonas_truncata"	"treatment_conc"	"treatment_conc"	"treatment_conc"	0.285578976667189	-0.282556739776635	0.911005683297113	0.994030900890886	1	0.994030900890886	0.999811187275919	NA	"abundance"	15	13
"H1-10_uncultured_eukaryote"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-1.22410592871669	-0.282556739776635	1.20641791503492	0.988743991962688	1	0.988743991962688	0.999811187275919	NA	"abundance"	15	13
"H15-6_Choanocystis_symna"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-1.52125419522396	-0.282556739776635	0.743946761629963	0.98574488969623	1	0.816461979561094	0.999811187275919	NA	"abundance"	15	14
"Incertae_Sedis_metagenome"	"treatment_conc"	"treatment_conc"	"treatment_conc"	0.0714865345750446	-0.282556739776635	0.896712007790899	0.996055499211661	1	0.53617416796126	0.999811187275919	NA	"abundance"	15	6
"Monosiga_uncultured_freshwater"	"treatment_conc"	"treatment_conc"	"treatment_conc"	913.861369995633	-0.282556739776635	1277.6359360392	0.999994104610118	1	0.877528043357364	0.999811187275919	NA	"abundance"	15	3
"Mycamoeba_uncultured_freshwater"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-0.187996408631184	-0.282556739776635	0.502053656430656	0.998842204165022	1	0.742092680839585	0.999811187275919	NA	"abundance"	15	10
"Parvilucifera_uncultured_alveolate"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-0.631687676406381	-0.282556739776635	0.350538232917445	0.995936878911757	1	0.364412958020414	0.999811187275919	NA	"abundance"	15	5
"Reclinomonas_Reclinomonas_americana"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-0.694410472316369	-0.282556739776635	0.585874336733764	0.995198499294051	1	0.995198499294051	0.999811187275919	NA	"abundance"	15	13
"Saccamoeba_Saccamoeba_limax"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-399.518741709549	-0.282556739776635	282.378300183857	0.306684666357977	1	0.51931384813685	0.999811187275919	NA	"abundance"	15	7
"Zoophagus_Zoophagus_insidians"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-1106.74168730362	-0.282556739776635	887.642601062002	0.429141169047307	1	0.674120195123325	0.999811187275919	NA	"abundance"	15	4
"Acanthocystidae_uncultured_eukaryote"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-1.19451216545835	0	2.32514627574137	0.607436332799776	1	0.607436332799776	0.999811187275919	"<4 average observations per random effect group often inflates coefficients and deflates p-values: consider setting small_random_effects=TRUE and see tutorial"	"prevalence"	15	2
"Cercomonas_uncultured_Cercozoa"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-1.79594604325955	0	1.33139041051688	0.177361000897257	1	0.323265077155238	0.999811187275919	"<4 average observations per random effect group often inflates coefficients and deflates p-values: consider setting small_random_effects=TRUE and see tutorial"	"prevalence"	15	9
"Cercozoa_Athalamea_environmental"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-0.160796572003804	0	0.578247142720327	0.780954125472438	1	0.952018904852455	0.999811187275919	"<4 average observations per random effect group often inflates coefficients and deflates p-values: consider setting small_random_effects=TRUE and see tutorial"	"prevalence"	15	11
"Codosiga_Codosiga_hollandica"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-0.733673114008812	0	0.576120910068955	0.202851053822254	1	0.364553557607709	0.999811187275919	"<4 average observations per random effect group often inflates coefficients and deflates p-values: consider setting small_random_effects=TRUE and see tutorial"	"prevalence"	15	10
"Diplostraca_Acantholeberis_curvirostris"	"treatment_conc"	"treatment_conc"	"treatment_conc"	0.00937082847577539	0	0.568248160802287	0.986842895390235	1	0.999639005511375	0.999811187275919	"<4 average observations per random effect group often inflates coefficients and deflates p-values: consider setting small_random_effects=TRUE and see tutorial"	"prevalence"	15	10
"Diplostraca_Acroperus_harpae"	"treatment_conc"	"treatment_conc"	"treatment_conc"	-6.38105180419227	0	370.505989932201	0.986259085762556	1	0.999811187275919	0.999811187275919	"<4 average observations per random effect group often inflates coefficients and deflates p-values: consider setting small_random_effects=TRUE and see tutorial"	"prevalence"	15	14
"Diplostraca_Bosmina_longirostris"	"treatment_conc"	"treatment_conc"	"treatment_conc"	0.30017924551453	0	0.56261864118359	0.59366020378002	1	0.834887970007905	0.999811187275919	"<4 average observations per random effect group often inflates coefficients and deflates p-values: consider setting small_random_effects=TRUE and see tutorial"	"prevalence"	15	8
"Diplostraca_Chydorus_sphaericus"	"treatment_conc"	"treatment_conc"	"treatment_conc"	24.4690374785743	0	73.2334086874491	0.738286010636131	1	0.931505787771249	0.999811187275919	"<4 average observations per random effect group often inflates coefficients and deflates p-values: consider setting small_random_effects=TRUE and see tutorial"	"prevalence"	15	13
