feature	Euamoebida_Copromyxa_microcystidis	Euamoebida_Copromyxa_sp.	Vahlkampfia_Vahlkampfia_avara	Tetramitus_Tetramitus_thorntoni	Arcellinida_metagenome	BOLA868_uncultured_Hartmannellidae	Cercomonas_uncultured_Cercozoa	Viridiraptor_uncultured_eukaryote	uncultured_uncultured_Eimeriidae	Cercozoa_uncultured_eukaryote	Novel_Clade_Gran-4_uncultured_Cercozoa	Novel_Clade_Gran-3_uncultured_freshwater	Ligniera_Ligniera_junci	Polymyxa_uncultured_Plasmodiophoridae	uncultured_Spongospora_sp.	Phytomyxea_uncultured_Plasmodiophoridae	Woronina_uncultured_Plasmodiophoridae	Cercozoa_Athalamea_environmental	uncultured_Dimorpha-like_sp.	Gymnophrys_metagenome	Novel_Clade_10_uncultured_Rhizaria	Goniomonas_Goniomonas_sp.	Nuclearia_metagenome	Salpingoeca_metagenome	Saccamoeba_Saccamoeba_limax	uncultured_uncultured_Eimeriidae.1	Mycamoeba_uncultured_freshwater	Mycamoeba_metagenome	Codosiga_Codosiga_hollandica	uncultured_uncultured_fungus	Sorodiplophrys_uncultured_Eimeriidae	Sorodiplophrys_uncultured_eukaryote	Jakobida_metagenome	Reclinomonas_Reclinomonas_americana	Incertae_Sedis_metagenome	Diplostraca_Diaphanosoma_sp.	Diplostraca_Chydorus_sphaericus	Diplostraca_Pleuroxus_aduncus	Diplostraca_Bosmina_longirostris	Diplostraca_Acroperus_harpae	Diptera_Ablabesmyia_rhamphe	Diptera_Belgica_antarctica	Legeriomycetaceae_Legeriosimilis_sp.	Smittium_Smittium_cf.	Zoopagales_metagenome	uncultured_metagenome	Flamella_uncultured_eukaryote	Telaepolella_Telaepolella_sp.	Telaepolella_Telaepolella_tubasferens	Acanthamoeba_Acanthamoeba_castellanii	Acanthamoeba_Acanthamoeba_hatchetti	Magnoliophyta_Acanthamoeba_sp.	Centramoebida_uncultured_eukaryote	Protosporangium_Endostelium_amerosporum	Ischnamoeba_Ischnamoeba_sp.	Amoebozoa_metagenome	Ischnamoeba_uncultured_eukaryote	Ischnamoeba_Lobosea_sp.	Rigifila_Rigifila_ramosa	H15-6_Choanocystis_symna	CV1-B1-93_uncultured_centroheliozoan	Pterocystis_Pterocystis_sp.	Pterocystis_uncultured_eukaryote	Acanthocystidae_uncultured_eukaryote	H1-10_uncultured_eukaryote	Haptophyta_Spironema_cf.	Parvilucifera_uncultured_alveolate
10S	NA	NA	NA	8.80902043692741e-05	0.00145348837209302	0.0011892177589852	NA	NA	0.00176180408738548	NA	NA	NA	NA	NA	NA	NA	0.000792811839323467	0.000132135306553911	NA	NA	NA	NA	NA	NA	NA	0.00176180408738548	NA	0.000528541226215645	NA	NA	NA	0.00171775898520085	0.00145348837209302	0.00198202959830867	0.000528541226215645	NA	NA	NA	NA	8.80902043692741e-05	NA	0.0253259337561663	NA	NA	0.00140944326990839	0.000836856941508104	0.920146229739253	NA	0.000352360817477097	0.00973396758280479	0.00158562367864693	0.005461592670895	0.00458069062720226	0.000660676532769556	0.000220225510923185	0.00198202959830867	NA	0.010438689217759	NA	NA	NA	NA	0.000880902043692741	0.000836856941508104	NA	4.40451021846371e-05	0.0020260747004933
1S	NA	0.00502124372344535	NA	NA	0.0544611819235226	0.00733874082657397	0.00656624179219776	0.0139049826187717	0.037466203167246	NA	NA	0.339127076091155	NA	NA	NA	0.0115874855156431	0.0281962147547316	NA	0.00656624179219776	0.00926998841251448	NA	NA	NA	NA	NA	0.037466203167246	NA	NA	0.000386249517188104	NA	0.0177674777906528	0.0505986867516416	NA	NA	NA	NA	0.000772499034376207	0.033603707995365	NA	0.000386249517188104	NA	NA	NA	0.00695249130938586	0.0115874855156431	0.00965623792970259	0.00579374275782155	NA	0.0135187331015836	NA	NA	NA	NA	0.015063731170336	0.0104287369640788	0.00772499034376207	0.00502124372344535	0.227114716106605	NA	NA	NA	NA	NA	NA	0.00270374662031672	NA	0.0239474700656624
2S	NA	0.000651041666666667	NA	NA	0.126953125	0.00390625	NA	0.00651041666666667	0.0169270833333333	NA	NA	0.03125	0.009765625	NA	NA	0.00130208333333333	0.0182291666666667	0.00390625	0.00130208333333333	NA	0.000651041666666667	NA	0.00846354166666667	0.009765625	NA	0.0169270833333333	0.0130208333333333	0.00911458333333333	0.01171875	0.00390625	NA	0.00455729166666667	NA	0.00846354166666667	0.00260416666666667	NA	NA	0.001953125	NA	0.009765625	0.00520833333333333	0.00130208333333333	NA	NA	NA	0.025390625	0.0078125	NA	0.05859375	0.000651041666666667	0.000651041666666667	0.00390625	NA	0.0162760416666667	NA	0.0143229166666667	0.00260416666666667	0.47265625	NA	0.0078125	0.000651041666666667	0.000651041666666667	0.00130208333333333	0.0442708333333333	0.001953125	0.0123697916666667	NA
3S	NA	NA	NA	NA	0.0164810690423163	NA	0.00044543429844098	NA	0.00757238307349666	0.0195991091314031	NA	0.044988864142539	NA	NA	0.00089086859688196	NA	0.00489977728285078	NA	0.0066815144766147	NA	0.0066815144766147	0.00579064587973274	NA	NA	NA	0.00757238307349666	0.00489977728285078	NA	NA	NA	0.0044543429844098	0.0209354120267261	NA	0.0044543429844098	0.00133630289532294	NA	NA	0.00044543429844098	NA	NA	0.59554565701559	NA	0.00044543429844098	NA	NA	0.00757238307349666	0.00534521158129176	0.00356347438752784	0.0066815144766147	0.00044543429844098	NA	0.00044543429844098	0.00133630289532294	0.00712694877505568	NA	0.00534521158129176	0.0142538975501114	0.16347438752784	0.00801781737193764	NA	0.022271714922049	NA	NA	NA	NA	NA	NA
4S	0.00540297163439892	NA	NA	NA	0.0373705538045925	0.00225123818099955	0.00135074290859973	0.00675371454299865	0.00720396217919856	NA	NA	0.0229626294461954	NA	NA	NA	0.00540297163439892	0.0108059432687978	0.00405222872579919	NA	0.00090049527239982	0.00630346690679874	NA	NA	NA	NA	0.00720396217919856	0.00270148581719946	0.00045024763619991	0.00540297163439892	0.00540297163439892	0.0202611436289959	0.0571814497973886	0.00495272399819901	0.0121566861773976	0.00090049527239982	NA	0.00810445745159838	NA	NA	NA	0.284556506078343	NA	0.00495272399819901	NA	NA	0.0135074290859973	0.00315173345339937	0.00405222872579919	0.014858171994597	0.00045024763619991	NA	NA	0.00135074290859973	NA	0.00135074290859973	0.00945520036019811	0.00135074290859973	0.360648356596128	0.00045024763619991	0.00630346690679874	0.00090049527239982	NA	NA	0.0162089149031968	0.0405222872579919	NA	0.00045024763619991
5S	NA	NA	0.027255029201817	0.000648929266709929	0.0843608046722907	NA	0.00973393900064893	0.0188189487345879	0.0227125243348475	NA	NA	0.0266060999351071	NA	0.00129785853341986	0.00259571706683971	NA	0.00584036340038936	NA	NA	0.00129785853341986	0.00713822193380921	NA	NA	NA	0.00194678780012979	0.0227125243348475	NA	NA	0.00259571706683971	NA	NA	0.00389357560025957	NA	NA	NA	NA	NA	NA	NA	0.000648929266709929	0.134977287475665	0.0207657365347177	0.00324464633354964	NA	NA	0.0136275146009085	0.00973393900064893	NA	0.0953926022063595	0.0382868267358858	0.0590525632706035	0.036340038935756	NA	0.0129785853341986	0.00129785853341986	0.0142764438676184	0.0142764438676184	0.265412070084361	NA	NA	NA	NA	NA	0.0194678780012979	0.0207657365347177	NA	NA
6S	NA	NA	0.110386079390973	0.0320826536160957	0.0462207721587819	0.00489396411092985	0.145187601957586	NA	0.000543773790103317	0.0130505709624796	0.000543773790103317	NA	NA	NA	NA	NA	0.00217509516041327	NA	NA	NA	0.00271886895051659	NA	NA	NA	NA	0.000543773790103317	0.0212071778140294	0.00489396411092985	NA	NA	0.00815660685154975	0.022294725394236	NA	0.00598151169113649	NA	NA	NA	NA	NA	0.000543773790103317	0.0505709624796085	NA	0.00163132137030995	0.00435019032082654	NA	0.000543773790103317	0.00380641653072322	0.0277324632952692	0.0799347471451876	0.0135943447525829	0.0261011419249592	0.0494834148994018	NA	0.00978792822185971	NA	0.00163132137030995	0.000543773790103317	0.299075584556824	NA	0.00217509516041327	0.00489396411092985	0.00163132137030995	NA	NA	NA	NA	0.00108754758020663
7S	NA	0.0486322188449848	NA	NA	0.013677811550152	NA	0.000759878419452888	NA	0.0227963525835866	NA	NA	0.00379939209726444	NA	0.0159574468085106	NA	NA	0.0129179331306991	0.013677811550152	NA	NA	NA	NA	NA	0.00379939209726444	NA	0.0227963525835866	0.000759878419452888	NA	NA	NA	NA	0.027355623100304	NA	0.0060790273556231	NA	NA	NA	NA	0.000759878419452888	NA	0.106382978723404	0.00911854103343465	0.000759878419452888	0.00531914893617021	NA	0.000759878419452888	0.00379939209726444	NA	0.0243161094224924	0.0455927051671733	0.0417933130699088	0.113981762917933	NA	NA	NA	NA	NA	0.441489361702128	NA	NA	NA	NA	NA	NA	0.000759878419452888	NA	0.0121580547112462
8S	0.00163922211459653	NA	0.628045600178824	0.00037255048059012	0.0419491841144475	0.0226510692198793	0.00037255048059012	NA	0.00357648461366515	NA	7.4510096118024e-05	NA	0.00163922211459653	NA	0.000968631249534312	NA	0.00461962595931749	0.000149020192236048	NA	7.4510096118024e-05	NA	NA	0.000149020192236048	NA	0.000596080768944192	0.00357648461366515	0.00193726249906862	0.00074510096118024	NA	NA	NA	NA	NA	0.000298040384472096	NA	0.00111765144177036	0.00149020192236048	0.086878772073616	0.00134118173012443	0.000298040384472096	0.0742865658296699	NA	NA	0.00074510096118024	NA	0.000968631249534312	NA	NA	0.0119961254750019	0.0192981148945682	0.00670590865062216	0.0270471648908427	NA	NA	0.000149020192236048	NA	NA	0.0415021235377394	7.4510096118024e-05	NA	7.4510096118024e-05	NA	NA	NA	NA	0.00357648461366515	0.00223530288354072
9S	NA	NA	0.181727904667329	NA	0.0367428003972195	0.00695134061569017	0.00496524329692155	0.00595829195630586	0.012909632571996	NA	NA	0.0099304865938431	0.00496524329692155	NA	NA	NA	0.00893743793445879	0.00297914597815293	0.00099304865938431	NA	NA	0.00099304865938431	0.00099304865938431	NA	NA	0.012909632571996	NA	0.00099304865938431	NA	NA	0.0109235352532274	0.0278053624627607	NA	0.00099304865938431	NA	0.00397219463753724	NA	NA	NA	NA	0.012909632571996	0.00099304865938431	0.00099304865938431	NA	NA	0.0139026812313803	0.00297914597815293	NA	0.0268123138033764	0.00397219463753724	0.0119165839126117	0.0367428003972195	0.00099304865938431	NA	NA	NA	0.00198609731876862	0.457795431976167	NA	0.0297914597815293	NA	0.028798411122145	NA	0.012909632571996	0.0198609731876862	NA	NA
