feature	Arcellinida_metagenome	uncultured_uncultured_freshwater	Cercomonas_uncultured_Cercozoa	Novel_Clade_Gran-4_uncultured_Cercozoa	Goniomonas_Goniomonas_truncata	Nuclearia_metagenome	Monosiga_uncultured_freshwater	Craspedida_metagenome	Saccamoeba_Saccamoeba_limax	Mycamoeba_uncultured_freshwater	Codosiga_Codosiga_hollandica	uncultured_uncultured_fungus	Reclinomonas_Reclinomonas_americana	Incertae_Sedis_metagenome	Diplostraca_Diaphanosoma_sp.	Diplostraca_Chydorus_sphaericus	Diplostraca_Pleuroxus_aduncus	Diplostraca_Bosmina_longirostris	Cryptomonas_Cryptomonas_platyuris	Diplostraca_Acroperus_harpae	Diplostraca_Acantholeberis_curvirostris	Discosea_metagenome	Rigifila_Rigifila_ramosa	H15-6_Choanocystis_symna	CV1-B1-93_uncultured_centroheliozoan	Pterocystis_Pterocystis_sp.	H1-10_uncultured_eukaryote	Haptophyta_Spironema_cf.	Parvilucifera_uncultured_alveolate
Ven1	-12.6570951048884	NA	-6.16524200855872	-9.84974018283079	-11.0721326041672	-12.6570951048884	NA	-11.0721326041672	-7.33516701000103	NA	-11.0721326041672	-8.19766348625109	-11.6570951048884	NA	-0.0488402829104811	-10.6570951048884	-12.6570951048884	-8.19766348625109	NA	-12.6570951048884	-10.0721326041672	NA	NA	NA	-10.0721326041672	-12.6570951048884	-12.6570951048884	NA	-12.6570951048884
Ven11	NA	NA	-0.622525913677639	NA	NA	NA	NA	-7.74146698640115	-7.74146698640115	NA	-6.74146698640115	-3.74146698640115	NA	NA	NA	-7.74146698640115	-2.69707286704269	NA	NA	-7.74146698640115	NA	NA	NA	-6.15650448567999	-3.65400414515081	NA	NA	NA	NA
Ven13	-5.02236781302845	NA	-1.21501289097085	NA	-4.4374053123073	NA	NA	NA	-3.4374053123073	NA	-6.02236781302845	NA	-3.21501289097085	-6.02236781302845	NA	-3.70043971814109	-4.02236781302845	-4.4374053123073	NA	-6.02236781302845	-5.02236781302845	NA	NA	NA	-6.02236781302845	NA	NA	NA	-6.02236781302845
Ven14	-12.9925843440058	-9.1852294219482	-9.9925843440058	NA	NA	NA	NA	-12.9925843440058	-9.08569374839728	NA	-11.4076218432846	-8.82265934256349	NA	NA	-12.9925843440058	-11.9925843440058	NA	-0.0126233287829742	-10.1852294219482	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.9925843440058
Ven15	-4.88264304936184	-1.97575245375332	NA	-3.29768054864069	-3.56071495447448	-3.29768054864069	NA	NA	-5.88264304936184	NA	NA	NA	NA	-5.88264304936184	-2.56071495447448	NA	NA	-2.88264304936184	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.29768054864068	-4.88264304936184
Ven17	-10.1065629404449	NA	-5.8586354270013	-4.78463484555752	-11.1065629404449	-11.1065629404449	NA	NA	-8.52160043972373	NA	-4.21174517713694	-11.1065629404449	-9.52160043972373	-10.1065629404449	-1.32192809488736	-11.1065629404449	-11.1065629404449	-9.52160043972373	NA	-11.1065629404449	-10.1065629404449	-11.1065629404449	-8.78463484555752	-9.10656294044488	-8.78463484555752	NA	NA	NA	-1.07451721351407
Ven19	-12.1472049249422	-11.1472049249422	-11.1472049249422	-10.1472049249422	-12.1472049249422	NA	NA	NA	-6.89927741149864	NA	-11.1472049249422	NA	NA	NA	NA	-8.24031432933371	-7.44676520680114	-0.155683078866534	-7.89927741149864	-9.56224242422107	-9.33985000288462	NA	NA	-9.14720492494223	-10.5622424242211	NA	NA	NA	-3.78088271069641
Ven21	NA	NA	-1.48542682717024	NA	NA	NA	NA	NA	NA	NA	-5.39231742277876	NA	NA	NA	NA	-5.39231742277876	-1.14438990933517	-5.39231742277876	NA	-3.39231742277876	NA	NA	NA	NA	-5.39231742277876	NA	NA	NA	NA
Ven23	NA	NA	-0.931287249915986	NA	-4.03562390973072	NA	NA	-4.77258950389693	NA	NA	NA	NA	-4.77258950389693	NA	NA	NA	-4.03562390973072	-3.35755200461808	NA	NA	NA	NA	NA	-2.89812038598079	-5.35755200461808	NA	-6.35755200461808	-6.35755200461808	NA
Ven25	-10.9929383361658	NA	-4.40048129889773	NA	NA	NA	NA	-11.9929383361658	-6.16004832200107	-11.9929383361658	NA	-8.18558341410821	-9.18558341410821	NA	-8.99293833616581	-9.67101024127845	NA	-0.11834114376418	-11.9929383361658	NA	NA	-10.9929383361658	NA	NA	-7.18558341410821	-10.9929383361658	NA	NA	NA
